,A14,A15,A6,A6-2,KS22,KS24,KS25,KS26,E1,E2,E3,E5,F6,F7,F9,F10,M5,M7,M8,M9,BS10,BS8,BSs6,BSs7,N1,N2,N3,N4,CE19,CE20,CE21,CE18,EAN10,EAN11,EAN12,EAN9,KC27,KC28,KC29,KC30,KN4,KN5,KN6,KN2,NA10,NA5,NA6,O5,O6,O7,O8,PA2,PA3,PA4,PA5,CD4,CD5,CD16,CD17,CB1,CB2,CB4,CB5,CG1,CG2,CG4,CG5,FA1,FA2,FA4,FA5
cg00023363,0.046563482999999996,0.596564335,0.521186217,0.094335784,0.070004481,0.6076667960000001,0.877373339,0.922629273,0.509763536,0.930058633,0.051677800999999995,0.9281337709999999,0.6719281290000001,0.573442468,0.8574697520000001,0.593850759,0.8950913690000001,0.646934363,0.581759812,0.241035799,0.9359993109999999,0.547170522,0.9020344309999999,0.928822472,0.037827561,0.9097879729999999,0.031833164,0.934117327,0.558089588,0.071021158,0.50795609,0.408736624,0.8547692729999999,0.587550146,0.922445167,0.580316384,0.5274572479999999,0.487135947,0.544224099,0.515863135,0.500747,0.932418058,0.066166931,0.534952755,0.067562948,0.936419695,0.9162565420000001,0.04202819,0.5227194239999999,0.044380627,0.932526955,0.9037140790000001,0.190601309,0.5325748229999999,0.8894093679999999,0.9032312240000001,0.584822521,0.938003835,0.047634172,0.052434342,0.9343538490000001,0.7686586059999999,0.560603649,0.524299987,0.5200531429999999,0.944495023,0.68792784,0.923819354,0.452350177,0.557500342,0.92857082
cg00027162,0.053722596,0.156141301,0.048285207999999996,0.149105878,0.9015465490000001,0.542855184,0.033235765,0.337369275,0.6221043589999999,0.03639638,0.539841618,0.954510355,0.5770558029999999,0.497599605,0.6612989770000001,0.28997563,0.724206105,0.6443169870000001,0.634513755,0.311027951,0.539395712,0.08608112,0.88469932,0.036901327000000005,0.671050563,0.580843253,0.07240730599999999,0.039378315,0.9217240879999999,0.584729629,0.572778883,0.531082145,0.545215776,0.076465176,0.589843255,0.564699898,0.50194513,0.48975891200000005,0.510803685,0.910683514,0.047043329,0.90413343,0.49325147,0.314354368,0.24028819199999998,0.7656127229999999,0.397463675,0.46311897799999996,0.047461692,0.914286514,0.585559516,0.551181674,0.42590757,0.554701718,0.521178824,0.047042355999999994,0.904493124,0.624205531,0.82452191,0.76172735,0.948552605,0.896730978,0.516296501,0.054798357,0.934262081,0.08491297800000001,0.926893625,0.683670826,0.9317406159999999,0.879880485,0.587299505
cg00033950,0.050418448,0.484275704,0.142774127,0.7026207179999999,0.7983875690000001,0.454616805,0.432942675,0.234361682,0.035942651,0.560384546,0.7108470240000001,0.8517708690000001,0.041600878,0.22289979699999998,0.521455608,0.642780034,0.453050477,0.7612900659999999,0.445465795,0.34562103200000005,0.47085876299999996,0.12693094,0.513741396,0.527566781,0.5546659629999999,0.052818857999999996,0.116498221,0.9349625659999999,0.895004702,0.246154548,0.265755701,0.41352889600000003,0.48493218899999996,0.5417005429999999,0.530445718,0.581043387,0.41891117899999997,0.051791551,0.701987415,0.493780947,0.39964319200000004,0.09887875900000001,0.580480356,0.5910682279999999,0.861434516,0.406817421,0.447889676,0.294903976,0.517127524,0.925749363,0.676708428,0.36232647100000004,0.6856064609999999,0.7142732509999999,0.204998188,0.926750748,0.437055032,0.508677362,0.032326731000000004,0.631101546,0.487542297,0.454789083,0.658728492,0.493961794,0.520548739,0.9039574229999999,0.520433147,0.55451521,0.330867315,0.41523533799999995,0.418521455
cg00039795,0.94174023,0.530310661,0.1514524,0.651503727,0.9287711609999999,0.487470822,0.47892824700000003,0.04599377,0.43712426299999996,0.9033542609999999,0.5211445920000001,0.93293492,0.43841019,0.623769218,0.54742882,0.09937155800000001,0.395186078,0.955209615,0.919281879,0.578698472,0.100111008,0.855088183,0.553810066,0.492328835,0.260150299,0.862532787,0.493518355,0.492996179,0.437770612,0.500388834,0.9114470809999999,0.908159029,0.905851449,0.534220602,0.12181665800000001,0.49626599899999996,0.522451737,0.421742144,0.511870099,0.035780492000000004,0.655556331,0.9225432240000001,0.933041802,0.517298479,0.59184002,0.51023779,0.573223922,0.299649918,0.934498596,0.391090139,0.91956055,0.930101697,0.567885589,0.248363222,0.584148158,0.9362395459999999,0.46918726899999996,0.739358745,0.47553297299999997,0.8966149259999999,0.437667231,0.15990917699999999,0.933423145,0.51869116,0.039380171,0.038363034,0.043506625,0.128424601,0.929069692,0.46505745299999995,0.59759112
cg00062496,0.04210291099999999,0.515518784,0.46079261,0.067584053,0.445151345,0.514713714,0.462387657,0.9224164970000001,0.47223356899999996,0.857249083,0.047829884,0.54996383,0.564853701,0.426803989,0.313397039,0.927967084,0.493441067,0.878733937,0.488661203,0.54324655,0.023132135,0.460095281,0.494772079,0.498697217,0.270929657,0.910908646,0.404593401,0.36888653200000004,0.9129576209999999,0.477977585,0.437466626,0.477144908,0.44761353,0.43623103,0.815966058,0.024788678999999997,0.438005479,0.023906802999999997,0.022745852999999996,0.437850635,0.44798434,0.47642924799999997,0.061313313,0.153930445,0.932757775,0.436240595,0.914945268,0.886473528,0.848487257,0.016225241,0.023061500000000002,0.8253687209999999,0.051022637999999995,0.060219624000000006,0.503711485,0.5593300139999999,0.24623089199999998,0.45442670700000004,0.021496047999999997,0.025963911,0.921253489,0.49253847700000003,0.194245433,0.48150850100000003,0.056361267,0.534576254,0.453268514,0.5090115,0.9042245729999999,0.7475954459999999,0.8289899829999999
cg00069760,0.072661604,0.484436824,0.21744604399999998,0.606713309,0.885202053,0.057658533,0.253174482,0.455302836,0.21434630899999998,0.12175990800000001,0.948208678,0.567910542,0.046605089,0.383614656,0.268074023,0.133549009,0.9064848090000001,0.45539055700000003,0.6376418660000001,0.576164917,0.546170762,0.5986429329999999,0.45364495200000005,0.9336297729999999,0.323195198,0.632244226,0.04144879,0.596201685,0.585176987,0.535514968,0.378318445,0.637171749,0.562197391,0.503015235,0.24757998399999998,0.550124597,0.535820073,0.053561925,0.914146065,0.05149297,0.551052125,0.11285762699999999,0.535593707,0.5492109270000001,0.113225694,0.575034921,0.842561908,0.346562352,0.69745031,0.526465478,0.477437568,0.9313867720000001,0.63102708,0.51808183,0.629186668,0.057738162,0.9376235070000001,0.8755129490000001,0.579905135,0.078419531,0.51391835,0.509705403,0.231166526,0.932169157,0.463582996,0.049953372999999995,0.570580757,0.607587332,0.285423541,0.684016403,0.63728388
cg00093971,0.505590224,0.37113488,0.842979598,0.200808956,0.830429395,0.814907629,0.664085681,0.48827118,0.48852046,0.187803622,0.401799932,0.904674972,0.427940196,0.179450343,0.47434903700000003,0.8118468459999999,0.039705661,0.9209271790000001,0.5251088979999999,0.501648552,0.064782303,0.793250233,0.48004999200000004,0.033981184,0.075395008,0.897340537,0.495531261,0.474857551,0.537216331,0.501946471,0.849812839,0.329343315,0.07325926,0.607304815,0.09568282800000001,0.504553011,0.468037465,0.81908591,0.486053214,0.476511864,0.412086386,0.89099053,0.91670888,0.8902148209999999,0.912543703,0.41218267399999997,0.8655627359999999,0.498597533,0.8622777890000001,0.4699863,0.6107746589999999,0.47158066200000004,0.145307018,0.805925885,0.890437245,0.022331373999999998,0.022246226,0.445271664,0.029701774,0.930169185,0.150598881,0.920808262,0.502628394,0.487680756,0.49709547600000004,0.93045551,0.45850386600000004,0.920309072,0.553489575,0.879578203,0.898090167
cg00094538,0.07209661099999999,0.646524981,0.050093317000000005,0.073251201,0.933140596,0.165081662,0.5125402020000001,0.7265043590000001,0.946170572,0.045555288,0.059313925,0.573582302,0.557412521,0.6455587429999999,0.490127252,0.07116561,0.062254607,0.916233808,0.890769467,0.5065777579999999,0.034254256000000004,0.034927202000000004,0.09831337,0.568669365,0.92263814,0.9028859290000001,0.043573201,0.529933595,0.039093407999999996,0.517204592,0.6385414460000001,0.062630075,0.605612767,0.909043527,0.92814299,0.5480993710000001,0.05356671,0.054081606,0.492764921,0.5820927770000001,0.81972082,0.9387713240000001,0.586736121,0.591552465,0.6625912820000001,0.559559971,0.534278283,0.045852297,0.568089058,0.944849574,0.609073355,0.940310603,0.08254790299999999,0.611938533,0.613632989,0.046469067,0.41507202200000004,0.242257575,0.614215564,0.925034736,0.049926547,0.915534677,0.592326064,0.8534687120000001,0.93655869,0.948548088,0.945553665,0.453212964,0.7204266970000001,0.5956801389999999,0.9247127890000001
cg00120481,0.895892213,0.067239092,0.649022271,0.26458676600000003,0.7353433540000001,0.651542618,0.072137627,0.554015613,0.624520736,0.57537976,0.940954638,0.155407396,0.9204188640000001,0.277733617,0.588985496,0.63938202,0.927236023,0.659018169,0.054508677,0.90468402,0.9074488890000001,0.865718608,0.09208211599999999,0.525346592,0.9320039940000001,0.10757855699999999,0.040095765,0.582630929,0.912787115,0.5944419329999999,0.516010845,0.87436657,0.905792514,0.59405901,0.052168242000000004,0.10403923300000001,0.56666042,0.87049952,0.539851462,0.037612238,0.057504781,0.57855898,0.047762133,0.043631052999999996,0.052366802999999996,0.579411885,0.08054695,0.038920679,0.506604604,0.588133566,0.92301488,0.872379783,0.564523253,0.8823725290000001,0.045356149000000005,0.559540779,0.633362102,0.051255123,0.5901540160000001,0.613579904,0.550597998,0.755501926,0.9097989479999999,0.906161397,0.5397360920000001,0.920520208,0.5907795610000001,0.911412546,0.5304485320000001,0.55733328,0.618402962
cg00128517,0.44867576299999995,0.875531752,0.558502295,0.381741879,0.41022825799999996,0.490256058,0.08376027700000001,0.053378958,0.5153597129999999,0.49281875700000005,0.8712308329999999,0.94645694,0.107375714,0.873071653,0.87614378,0.522360969,0.945558498,0.583225995,0.879120366,0.156118583,0.43405862100000003,0.497570787,0.100609376,0.935553403,0.8420162370000001,0.46534780000000003,0.848379615,0.9130054259999999,0.18342851699999999,0.530318361,0.48231851,0.172794715,0.602947755,0.496464741,0.658053139,0.546143581,0.126804162,0.8482672929999999,0.909127619,0.056392476,0.936248876,0.291313559,0.8863831740000001,0.500643434,0.5443558239999999,0.6219029110000001,0.944401642,0.5130717020000001,0.22398426600000002,0.430482356,0.316825848,0.489579369,0.41119607700000005,0.13217326699999998,0.434251262,0.94517858,0.068841713,0.455270665,0.867631824,0.100367989,0.309884901,0.903500843,0.45448406700000005,0.09998525800000001,0.513391205,0.13348393,0.51692296,0.14825433699999999,0.467675959,0.110896782,0.141605423
