,UAGB11,UAGM13,UAGW14,UAGW15,UAHB16,UAHB17,UAHB18,UAHB20,UHL13,UHL14,UH15,UH16,UT19,UT21,UTL22,UTL23,UF11,UF13,UF14,UF15,UQ25,UQ22,UQ23,UQ24,UR1,UR3,UR4,UR28,US16,US17,US20,US29
cg00014260,0.553770978,0.056476734,0.65635472,0.501758829,0.921857063,0.493920283,0.391456773,0.550858131,0.476416318,0.806170217,0.790138907,0.8282702959999999,0.04243164,0.466261442,0.467203114,0.733315188,0.44764097,0.4593327370000001,0.470891255,0.410806447,0.027955195,0.053315473,0.478087045,0.46909251,0.815060432,0.038663265,0.369042939,0.8508924990000001,0.095626762,0.459117244,0.8019171629999999,0.821804275
cg00093971,0.522958089,0.523428841,0.461819215,0.514791007,0.7366227890000001,0.056185961,0.11868332,0.902842615,0.897401006,0.135308291,0.595893496,0.463203835,0.554929043,0.202763949,0.498406844,0.554575449,0.523188945,0.894375763,0.3816634370000001,0.248440705,0.390241011,0.522455629,0.5006394479999999,0.165132434,0.872572476,0.67787771,0.511687688,0.469465491,0.420134776,0.450440977,0.4554934020000001,0.140309262
cg00094538,0.391499052,0.153369215,0.69509462,0.60934303,0.543502446,0.907193016,0.4198372520000001,0.8421697109999999,0.089558259,0.232505152,0.58469055,0.86551162,0.604066847,0.603972273,0.279790309,0.825601252,0.6871997440000001,0.269348734,0.060051118,0.806296239,0.17821003600000002,0.948846368,0.479980366,0.5522596439999999,0.831667712,0.061201355,0.939552473,0.5932292229999999,0.640302272,0.643125108,0.048709482000000005,0.913322359
cg00125585,0.781878524,0.581567869,0.943244025,0.035937846,0.939118944,0.5927563020000001,0.548405059,0.946951936,0.101669052,0.514044536,0.549644906,0.9002592890000001,0.524825575,0.552130911,0.646823527,0.857828661,0.927583016,0.810063867,0.947285078,0.535014705,0.89946222,0.943510166,0.567710212,0.209493397,0.099791574,0.040407,0.576934624,0.859740105,0.048634698,0.578513968,0.566838319,0.444588312
cg00153041,0.400665526,0.662440162,0.069613642,0.6715182040000001,0.7839989509999999,0.51937928,0.745640741,0.550289409,0.127094661,0.18068778,0.7893463079999999,0.5740077029999999,0.135862541,0.407696649,0.567347616,0.6688968129999999,0.064363088,0.822082949,0.568444451,0.7251204990000001,0.80186814,0.506830051,0.561264242,0.775475577,0.5633176910000001,0.080061415,0.105648639,0.609738656,0.062710847,0.5662713779999999,0.531212744,0.8733269509999999
cg00156723,0.5036691529999999,0.915521238,0.550338425,0.035381916,0.748088005,0.937350259,0.738879287,0.519976571,0.872406597,0.92608539,0.682530155,0.873248227,0.530666679,0.545073391,0.546941433,0.280389449,0.533464528,0.861403686,0.524560171,0.425048288,0.460468279,0.47444826,0.8558420179999999,0.476596445,0.871596562,0.288120017,0.8357747809999999,0.051729604000000005,0.140480459,0.491523686,0.7250691440000001,0.187183789
cg00169205,0.16395320000000002,0.497693362,0.06276066,0.078094247,0.647609943,0.543558515,0.452475965,0.7214944440000001,0.89250483,0.475050145,0.838814453,0.5134712770000001,0.916546266,0.5266251820000001,0.473735384,0.425052718,0.349748135,0.06259861,0.73564771,0.631254756,0.383417967,0.584489904,0.797646975,0.530091322,0.223550767,0.177036174,0.316433872,0.568024314,0.071383481,0.210628665,0.053593819,0.608024154
cg00196200,0.579023615,0.93011453,0.073755468,0.585228952,0.546162446,0.08764628099999999,0.230109912,0.44451878,0.600875378,0.439468819,0.314242413,0.919142058,0.621267212,0.6772483220000001,0.534360341,0.734157175,0.136515735,0.581801849,0.552959305,0.585107674,0.122357138,0.564736867,0.868103493,0.908215768,0.435059504,0.956277833,0.616718392,0.921591727,0.931894319,0.338248111,0.820278705,0.4265401
cg00268322,0.459555265,0.050536178,0.320980057,0.549217916,0.531795699,0.6397737029999999,0.021883301,0.041977201,0.479716667,0.8977752370000001,0.6935208070000001,0.435507452,0.915559457,0.550443834,0.412189374,0.397383475,0.587531427,0.754702016,0.390310629,0.824688265,0.373765575,0.436884485,0.019808198,0.566163057,0.913596905,0.041847737,0.13217442599999998,0.513169266,0.073531103,0.738121692,0.929672489,0.312212045
cg00272317,0.5565858929999999,0.444887099,0.766921222,0.024524649,0.517227756,0.028691844,0.6517335479999999,0.603616749,0.519994119,0.038031363,0.563690321,0.916859261,0.025125022,0.03276963,0.029304422000000007,0.283413784,0.946029703,0.5163478979999999,0.523851221,0.033560501,0.430096583,0.924860379,0.507299767,0.052092675,0.49206858,0.46586848,0.940094925,0.018462134,0.915591717,0.024911298,0.06609347,0.185663579
